Maximum;0,09;@;No.6104;;;;;;
Minimum;-7,47;@;No.5961;;;;;;
Average;-6,142;;;;;;;;
Data Quantity;6422;;;;;;;;
Number of NG;0;;;;;;;;
No.;Force;Unit;Displacement;Unit;Judge;Position;Time;Date;
1;0,00;N;--;--;OK;--;21:19:10;08/07/2023;
2;0,00;N;--;--;OK;--;21:19:11;08/07/2023;
3;0,00;N;--;--;OK;--;21:19:11;08/07/2023;
4;0,00;N;--;--;OK;--;21:19:11;08/07/2023;
5;0,00;N;--;--;OK;--;21:19:11;08/07/2023;
6;0,00;N;--;--;OK;--;21:19:11;08/07/2023;
7;0,00;N;--;--;OK;--;21:19:11;08/07/2023;
8;0,00;N;--;--;OK;--;21:19:11;08/07/2023;
9;0,00;N;--;--;OK;--;21:19:11;08/07/2023;
10;0,00;N;--;--;OK;--;21:19:11;08/07/2023;
11;0,00;N;--;--;OK;--;21:19:11;08/07/2023;
12;0,00;N;--;--;OK;--;21:19:12;08/07/2023;
13;0,00;N;--;--;OK;--;21:19:12;08/07/2023;
14;0,00;N;--;--;OK;--;21:19:12;08/07/2023;
15;0,00;N;--;--;OK;--;21:19:12;08/07/2023;
16;0,00;N;--;--;OK;--;21:19:12;08/07/2023;
17;0,00;N;--;--;OK;--;21:19:12;08/07/2023;
18;0,00;N;--;--;OK;--;21:19:12;08/07/2023;
19;0,00;N;--;--;OK;--;21:19:12;08/07/2023;
20;0,00;N;--;--;OK;--;21:19:12;08/07/2023;
21;0,00;N;--;--;OK;--;21:19:12;08/07/2023;
22;0,00;N;--;--;OK;--;21:19:13;08/07/2023;
23;0,00;N;--;--;OK;--;21:19:13;08/07/2023;
24;0,00;N;--;--;OK;--;21:19:13;08/07/2023;
25;0,00;N;--;--;OK;--;21:19:13;08/07/2023;
26;0,00;N;--;--;OK;--;21:19:13;08/07/2023;
27;0,00;N;--;--;OK;--;21:19:13;08/07/2023;
28;0,00;N;--;--;OK;--;21:19:13;08/07/2023;
29;-0,01;N;--;--;OK;--;21:19:13;08/07/2023;
30;-0,01;N;--;--;OK;--;21:19:13;08/07/2023;
31;-0,01;N;--;--;OK;--;21:19:13;08/07/2023;
32;-0,02;N;--;--;OK;--;21:19:14;08/07/2023;
33;-0,02;N;--;--;OK;--;21:19:14;08/07/2023;
34;-0,03;N;--;--;OK;--;21:19:14;08/07/2023;
35;-0,03;N;--;--;OK;--;21:19:14;08/07/2023;
36;-0,03;N;--;--;OK;--;21:19:14;08/07/2023;
37;-0,04;N;--;--;OK;--;21:19:14;08/07/2023;
38;-0,05;N;--;--;OK;--;21:19:14;08/07/2023;
39;-0,05;N;--;--;OK;--;21:19:14;08/07/2023;
40;-0,05;N;--;--;OK;--;21:19:14;08/07/2023;
41;-0,06;N;--;--;OK;--;21:19:14;08/07/2023;
42;-0,07;N;--;--;OK;--;21:19:15;08/07/2023;
43;-0,08;N;--;--;OK;--;21:19:15;08/07/2023;
44;-0,08;N;--;--;OK;--;21:19:15;08/07/2023;
45;-0,09;N;--;--;OK;--;21:19:15;08/07/2023;
46;-0,10;N;--;--;OK;--;21:19:15;08/07/2023;
47;-0,10;N;--;--;OK;--;21:19:15;08/07/2023;
48;-0,11;N;--;--;OK;--;21:19:15;08/07/2023;
49;-0,12;N;--;--;OK;--;21:19:15;08/07/2023;
50;-0,12;N;--;--;OK;--;21:19:15;08/07/2023;
51;-0,13;N;--;--;OK;--;21:19:15;08/07/2023;
52;-0,14;N;--;--;OK;--;21:19:16;08/07/2023;
53;-0,14;N;--;--;OK;--;21:19:16;08/07/2023;
54;-0,16;N;--;--;OK;--;21:19:16;08/07/2023;
55;-0,16;N;--;--;OK;--;21:19:16;08/07/2023;
56;-0,17;N;--;--;OK;--;21:19:16;08/07/2023;
57;-0,18;N;--;--;OK;--;21:19:16;08/07/2023;
58;-0,19;N;--;--;OK;--;21:19:16;08/07/2023;
59;-0,20;N;--;--;OK;--;21:19:16;08/07/2023;
60;-0,21;N;--;--;OK;--;21:19:16;08/07/2023;
61;-0,21;N;--;--;OK;--;21:19:16;08/07/2023;
62;-0,23;N;--;--;OK;--;21:19:17;08/07/2023;
63;-0,25;N;--;--;OK;--;21:19:17;08/07/2023;
64;-0,25;N;--;--;OK;--;21:19:17;08/07/2023;
65;-0,26;N;--;--;OK;--;21:19:17;08/07/2023;
66;-0,27;N;--;--;OK;--;21:19:17;08/07/2023;
67;-0,28;N;--;--;OK;--;21:19:17;08/07/2023;
68;-0,30;N;--;--;OK;--;21:19:17;08/07/2023;
69;-0,31;N;--;--;OK;--;21:19:17;08/07/2023;
70;-0,32;N;--;--;OK;--;21:19:17;08/07/2023;
71;-0,33;N;--;--;OK;--;21:19:17;08/07/2023;
72;-0,34;N;--;--;OK;--;21:19:18;08/07/2023;
73;-0,36;N;--;--;OK;--;21:19:18;08/07/2023;
74;-0,37;N;--;--;OK;--;21:19:18;08/07/2023;
75;-0,38;N;--;--;OK;--;21:19:18;08/07/2023;
76;-0,40;N;--;--;OK;--;21:19:18;08/07/2023;
77;-0,40;N;--;--;OK;--;21:19:18;08/07/2023;
78;-0,42;N;--;--;OK;--;21:19:18;08/07/2023;
79;-0,43;N;--;--;OK;--;21:19:18;08/07/2023;
80;-0,45;N;--;--;OK;--;21:19:18;08/07/2023;
81;-0,47;N;--;--;OK;--;21:19:18;08/07/2023;
82;-0,48;N;--;--;OK;--;21:19:18;08/07/2023;
83;-0,50;N;--;--;OK;--;21:19:19;08/07/2023;
84;-0,51;N;--;--;OK;--;21:19:19;08/07/2023;
85;-0,52;N;--;--;OK;--;21:19:19;08/07/2023;
86;-0,54;N;--;--;OK;--;21:19:19;08/07/2023;
87;-0,55;N;--;--;OK;--;21:19:19;08/07/2023;
88;-0,56;N;--;--;OK;--;21:19:19;08/07/2023;
89;-0,58;N;--;--;OK;--;21:19:19;08/07/2023;
90;-0,60;N;--;--;OK;--;21:19:19;08/07/2023;
91;-0,61;N;--;--;OK;--;21:19:19;08/07/2023;
92;-0,62;N;--;--;OK;--;21:19:19;08/07/2023;
93;-0,64;N;--;--;OK;--;21:19:20;08/07/2023;
94;-0,65;N;--;--;OK;--;21:19:20;08/07/2023;
95;-0,66;N;--;--;OK;--;21:19:20;08/07/2023;
96;-0,68;N;--;--;OK;--;21:19:20;08/07/2023;
97;-0,69;N;--;--;OK;--;21:19:20;08/07/2023;
98;-0,71;N;--;--;OK;--;21:19:20;08/07/2023;
99;-0,72;N;--;--;OK;--;21:19:20;08/07/2023;
100;-0,74;N;--;--;OK;--;21:19:20;08/07/2023;
101;-0,75;N;--;--;OK;--;21:19:20;08/07/2023;
102;-0,76;N;--;--;OK;--;21:19:20;08/07/2023;
103;-0,78;N;--;--;OK;--;21:19:21;08/07/2023;
104;-0,80;N;--;--;OK;--;21:19:21;08/07/2023;
105;-0,81;N;--;--;OK;--;21:19:21;08/07/2023;
106;-0,82;N;--;--;OK;--;21:19:21;08/07/2023;
107;-0,84;N;--;--;OK;--;21:19:21;08/07/2023;
108;-0,85;N;--;--;OK;--;21:19:21;08/07/2023;
109;-0,87;N;--;--;OK;--;21:19:21;08/07/2023;
110;-0,88;N;--;--;OK;--;21:19:21;08/07/2023;
111;-0,89;N;--;--;OK;--;21:19:21;08/07/2023;
112;-0,91;N;--;--;OK;--;21:19:21;08/07/2023;
113;-0,92;N;--;--;OK;--;21:19:22;08/07/2023;
114;-0,94;N;--;--;OK;--;21:19:22;08/07/2023;
115;-0,95;N;--;--;OK;--;21:19:22;08/07/2023;
116;-0,96;N;--;--;OK;--;21:19:22;08/07/2023;
117;-0,98;N;--;--;OK;--;21:19:22;08/07/2023;
118;-0,99;N;--;--;OK;--;21:19:22;08/07/2023;
119;-1,00;N;--;--;OK;--;21:19:22;08/07/2023;
120;-1,02;N;--;--;OK;--;21:19:22;08/07/2023;
121;-1,03;N;--;--;OK;--;21:19:22;08/07/2023;
122;-1,05;N;--;--;OK;--;21:19:22;08/07/2023;
123;-1,06;N;--;--;OK;--;21:19:23;08/07/2023;
124;-1,08;N;--;--;OK;--;21:19:23;08/07/2023;
125;-1,09;N;--;--;OK;--;21:19:23;08/07/2023;
126;-1,10;N;--;--;OK;--;21:19:23;08/07/2023;
127;-1,12;N;--;--;OK;--;21:19:23;08/07/2023;
128;-1,14;N;--;--;OK;--;21:19:23;08/07/2023;
129;-1,15;N;--;--;OK;--;21:19:23;08/07/2023;
130;-1,16;N;--;--;OK;--;21:19:23;08/07/2023;
131;-1,18;N;--;--;OK;--;21:19:23;08/07/2023;
132;-1,19;N;--;--;OK;--;21:19:23;08/07/2023;
133;-1,20;N;--;--;OK;--;21:19:24;08/07/2023;
134;-1,22;N;--;--;OK;--;21:19:24;08/07/2023;
135;-1,23;N;--;--;OK;--;21:19:24;08/07/2023;
136;-1,25;N;--;--;OK;--;21:19:24;08/07/2023;
137;-1,26;N;--;--;OK;--;21:19:24;08/07/2023;
138;-1,27;N;--;--;OK;--;21:19:24;08/07/2023;
139;-1,28;N;--;--;OK;--;21:19:24;08/07/2023;
140;-1,30;N;--;--;OK;--;21:19:24;08/07/2023;
141;-1,31;N;--;--;OK;--;21:19:24;08/07/2023;
142;-1,32;N;--;--;OK;--;21:19:24;08/07/2023;
143;-1,34;N;--;--;OK;--;21:19:25;08/07/2023;
144;-1,35;N;--;--;OK;--;21:19:25;08/07/2023;
145;-1,36;N;--;--;OK;--;21:19:25;08/07/2023;
146;-1,38;N;--;--;OK;--;21:19:25;08/07/2023;
147;-1,39;N;--;--;OK;--;21:19:25;08/07/2023;
148;-1,40;N;--;--;OK;--;21:19:25;08/07/2023;
149;-1,42;N;--;--;OK;--;21:19:25;08/07/2023;
150;-1,44;N;--;--;OK;--;21:19:25;08/07/2023;
151;-1,45;N;--;--;OK;--;21:19:25;08/07/2023;
152;-1,46;N;--;--;OK;--;21:19:25;08/07/2023;
153;-1,47;N;--;--;OK;--;21:19:26;08/07/2023;
154;-1,48;N;--;--;OK;--;21:19:26;08/07/2023;
155;-1,50;N;--;--;OK;--;21:19:26;08/07/2023;
156;-1,51;N;--;--;OK;--;21:19:26;08/07/2023;
157;-1,52;N;--;--;OK;--;21:19:26;08/07/2023;
158;-1,54;N;--;--;OK;--;21:19:26;08/07/2023;
159;-1,55;N;--;--;OK;--;21:19:26;08/07/2023;
160;-1,57;N;--;--;OK;--;21:19:26;08/07/2023;
161;-1,57;N;--;--;OK;--;21:19:26;08/07/2023;
162;-1,58;N;--;--;OK;--;21:19:26;08/07/2023;
163;-1,60;N;--;--;OK;--;21:19:27;08/07/2023;
164;-1,62;N;--;--;OK;--;21:19:27;08/07/2023;
165;-1,63;N;--;--;OK;--;21:19:27;08/07/2023;
166;-1,64;N;--;--;OK;--;21:19:27;08/07/2023;
167;-1,65;N;--;--;OK;--;21:19:27;08/07/2023;
168;-1,66;N;--;--;OK;--;21:19:27;08/07/2023;
169;-1,68;N;--;--;OK;--;21:19:27;08/07/2023;
170;-1,69;N;--;--;OK;--;21:19:27;08/07/2023;
171;-1,71;N;--;--;OK;--;21:19:27;08/07/2023;
172;-1,72;N;--;--;OK;--;21:19:27;08/07/2023;
173;-1,73;N;--;--;OK;--;21:19:28;08/07/2023;
174;-1,74;N;--;--;OK;--;21:19:28;08/07/2023;
175;-1,76;N;--;--;OK;--;21:19:28;08/07/2023;
176;-1,77;N;--;--;OK;--;21:19:28;08/07/2023;
177;-1,78;N;--;--;OK;--;21:19:28;08/07/2023;
178;-1,79;N;--;--;OK;--;21:19:28;08/07/2023;
179;-1,80;N;--;--;OK;--;21:19:28;08/07/2023;
180;-1,81;N;--;--;OK;--;21:19:28;08/07/2023;
181;-1,83;N;--;--;OK;--;21:19:28;08/07/2023;
182;-1,84;N;--;--;OK;--;21:19:28;08/07/2023;
183;-1,85;N;--;--;OK;--;21:19:29;08/07/2023;
184;-1,86;N;--;--;OK;--;21:19:29;08/07/2023;
185;-1,88;N;--;--;OK;--;21:19:29;08/07/2023;
186;-1,90;N;--;--;OK;--;21:19:29;08/07/2023;
187;-1,90;N;--;--;OK;--;21:19:29;08/07/2023;
188;-1,92;N;--;--;OK;--;21:19:29;08/07/2023;
189;-1,93;N;--;--;OK;--;21:19:29;08/07/2023;
190;-1,94;N;--;--;OK;--;21:19:29;08/07/2023;
191;-1,95;N;--;--;OK;--;21:19:29;08/07/2023;
192;-1,97;N;--;--;OK;--;21:19:29;08/07/2023;
193;-1,98;N;--;--;OK;--;21:19:30;08/07/2023;
194;-1,99;N;--;--;OK;--;21:19:30;08/07/2023;
195;-2,01;N;--;--;OK;--;21:19:30;08/07/2023;
196;-2,01;N;--;--;OK;--;21:19:30;08/07/2023;
